gene,logFC,PValue,t_stat,contrast,putamen_logfc,caudate_logfc,effect_difference,FDR,significant_nominal,significant_strict,significant,direction
OR2T1,-0.7055826730606722,0.007069603745749929,4.641536696500005,OUD_Effect_Putamen_vs_Caudate,1.9563657953062585,2.6619484683669308,-0.7055826730606722,1.0,True,False,True,Down
IL1RN,0.8055464197823499,0.005878336254908427,4.820302225925786,OUD_Effect_Putamen_vs_Caudate,2.4200230501741404,1.6144766303917906,0.8055464197823499,1.0,True,False,True,Up
AC132807.2,-0.7596690761451307,0.0042537980449736485,5.144378300810586,OUD_Effect_Putamen_vs_Caudate,0.9224828310980685,1.6821519072431992,-0.7596690761451307,1.0,True,False,True,Down
AC112484.3,-1.0700071980480443,0.0052356197842829254,-4.934705682673535,OUD_Effect_Putamen_vs_Caudate,-1.705847834144249,-0.6358406360962046,-1.0700071980480443,1.0,True,False,True,Down
LINC02513,0.74011417757353,0.003690295573896524,5.291287684499349,OUD_Effect_Putamen_vs_Caudate,2.4811363598855727,1.7410221823120426,0.74011417757353,1.0,True,False,True,Up
FAM153B,0.6357407673118083,0.007812025427322097,4.546563313289923,OUD_Effect_Putamen_vs_Caudate,1.785157159184744,1.1494163918729356,0.6357407673118083,1.0,True,False,True,Up
AL365214.4,1.6583657966445593,0.009091245166371149,4.404626707744861,OUD_Effect_Putamen_vs_Caudate,2.719871243100369,1.0615054464558098,1.6583657966445593,1.0,True,False,True,Up
RPS12,-0.53502807962155,0.006252761022298609,4.760002039742845,OUD_Effect_Putamen_vs_Caudate,0.855839104458953,1.390867184080503,-0.53502807962155,1.0,True,False,True,Down
HGC6.3,0.7557123071392007,0.009578518704785108,4.356382337915272,OUD_Effect_Putamen_vs_Caudate,2.877228483880211,2.1215161767410105,0.7557123071392007,1.0,True,False,True,Up
KIF25-AS1,1.0873738690698205,0.004951211342725706,4.990523079649425,OUD_Effect_Putamen_vs_Caudate,3.5057402406643727,2.4183663715945523,1.0873738690698205,1.0,True,False,True,Up
AL357127.2,-0.6429809438138576,0.006370391662712079,4.74189725324544,OUD_Effect_Putamen_vs_Caudate,1.4111618864814306,2.054142830295288,-0.6429809438138576,1.0,True,False,True,Down
MUC6,-0.5761138015334062,0.0009655647739533484,6.832561044024329,OUD_Effect_Putamen_vs_Caudate,1.3903103140960908,1.966424115629497,-0.5761138015334062,1.0,True,False,True,Down
CKAP4,-0.6777869109656866,0.006678154096731523,4.6962621872314525,OUD_Effect_Putamen_vs_Caudate,0.7032669002508573,1.3810538112165438,-0.6777869109656866,1.0,True,False,True,Down
AC084018.4,-1.0130773042993633,0.0014460669953288933,6.33649332102591,OUD_Effect_Putamen_vs_Caudate,1.107874183473397,2.12095148777276,-1.0130773042993633,1.0,True,False,True,Down
AL359502.2,0.5860584492256948,0.0019404438395423797,5.993280770445946,OUD_Effect_Putamen_vs_Caudate,1.587944011051676,1.0018855618259812,0.5860584492256948,1.0,True,False,True,Up
CYP19A1,-0.5919986546382047,0.005388347798017719,4.906132001189783,OUD_Effect_Putamen_vs_Caudate,0.5026461877805822,1.094644842418787,-0.5919986546382047,1.0,True,False,True,Down
AC022809.1,-0.8502576050614787,0.007958402805468475,4.5290411124410594,OUD_Effect_Putamen_vs_Caudate,0.899250951839561,1.7495085569010398,-0.8502576050614787,1.0,True,False,True,Down
